# ubersdr-ntp-iqrecord https://m9psy-1.instance.ubersdr.org carrier_hz=162000 mode=iq bandwidth=-6000..6000 min_margin=0
frame,timestamp_ns,frames,baseband_dbfs,noise_dbfs,host_unix_ns
0,0,240,-76.68,-112.21,1790299226905873470
240,1790299226885456748,240,-76.68,-112.21,1790299226919283600
480,1790299226905456748,240,-76.68,-112.21,1790299226939724147
720,1790299226925456748,240,-76.66,-107.09,1790299226955358834
960,1790299226945456748,240,-76.66,-107.09,1790299226975214117
1200,1790299226965456748,240,-76.66,-107.09,1790299226995295963
1440,1790299226985456748,240,-76.66,-107.09,1790299227014481757
1680,1790299227005456748,240,-76.66,-107.09,1790299227037660118
1920,1790299227025456748,240,-76.8,-102.21,1790299227055984918
2160,1790299227045456748,240,-76.8,-102.21,1790299227075568243
2400,1790299227065456748,240,-76.8,-102.21,1790299227098628714
2640,1790299227085456748,240,-76.8,-102.21,1790299227116754679
2880,1790299227105456748,240,-76.8,-102.21,1790299227140715252
3120,1790299227125456748,240,-76.77,-96.19,1790299227158516390
3360,1790299227145456748,240,-76.77,-96.19,1790299227177230481
3600,1790299227165456748,240,-76.77,-96.19,1790299227196675452
3840,1790299227185456748,240,-76.77,-96.19,1790299227219323235
4080,1790299227205456748,240,-76.77,-96.19,1790299227237042799
4320,1790299227225456748,240,-76.83,-93.98,1790299227259672214
4560,1790299227245456748,240,-76.83,-93.98,1790299227279146658
4800,1790299227265456748,240,-76.83,-93.98,1790299227295748635
5040,1790299227285456748,240,-76.83,-93.98,1790299227315180476
5280,1790299227305456748,240,-76.83,-93.98,1790299227335880898
5520,1790299227325456748,240,-76.92,-93.03,1790299227356626927
5760,1790299227345456748,240,-76.92,-93.03,1790299227374824269
6000,1790299227365456748,240,-76.92,-93.03,1790299227394687584
6240,1790299227385456748,240,-76.92,-93.03,1790299227417247019
6480,1790299227405456748,240,-76.92,-93.03,1790299227436052112
6720,1790299227425456748,240,-76.56,-94.71,1790299227456031852
6960,1790299227445456748,240,-76.56,-94.71,1790299227478036824
7200,1790299227465456748,240,-76.56,-94.71,1790299227498494900
7440,1790299227485456748,240,-76.56,-94.71,1790299227516740991
7680,1790299227505456748,240,-76.56,-94.71,1790299227537293282
7920,1790299227525456748,240,-76.83,-95.92,1790299227556812004
8160,1790299227545456748,240,-76.83,-95.92,1790299227579523133
8400,1790299227565456748,240,-76.83,-95.92,1790299227599456149
8640,1790299227585456748,240,-76.83,-95.92,1790299227619147168
8880,1790299227605456748,240,-76.83,-95.92,1790299227639045334
9120,1790299227625456748,240,-76.56,-96.66,1790299227654446335
9360,1790299227645456748,240,-76.56,-96.66,1790299227674959026
9600,1790299227665456748,240,-76.56,-96.66,1790299227694639220
9840,1790299227685456748,240,-76.56,-96.66,1790299227714155498
10080,1790299227705456748,240,-76.56,-96.66,1790299227737881129
10320,1790299227725456748,240,-76.94,-95.43,1790299227755556204
10560,1790299227745456748,240,-76.94,-95.43,1790299227775220125
10800,1790299227765456748,240,-76.94,-95.43,1790299227797730323
11040,1790299227785456748,240,-76.94,-95.43,1790299227816424509
11280,1790299227805456748,240,-76.94,-95.43,1790299227836859189
11520,1790299227825456748,240,-76.27,-94.28,1790299227858102132
11760,1790299227845456748,240,-76.27,-94.28,1790299227878863316
12000,1790299227865456748,240,-76.27,-94.28,1790299227899466381
12240,1790299227885456748,240,-76.27,-94.28,1790299227918437834
12480,1790299227905456748,240,-76.27,-94.28,1790299227939867042
