# ubersdr-ntp-iqrecord https://m9psy-1.instance.ubersdr.org carrier_hz=77500 mode=iq bandwidth=-6000..6000 min_margin=0
frame,timestamp_ns,frames,baseband_dbfs,noise_dbfs,host_unix_ns
0,0,240,-71.71,-105.3,1790299226907867135
240,1790299226885456748,240,-71.71,-105.3,1790299226919154745
480,1790299226905456748,240,-71.71,-105.3,1790299226939502822
720,1790299226925456748,240,-71.71,-99.63,1790299226955367424
960,1790299226945456748,240,-71.71,-99.63,1790299226975100208
1200,1790299226965456748,240,-71.71,-99.63,1790299226995295963
1440,1790299226985456748,240,-71.71,-99.63,1790299227014496004
1680,1790299227005456748,240,-71.71,-99.63,1790299227037645242
1920,1790299227025456748,240,-71.69,-94.52,1790299227055586618
2160,1790299227045456748,240,-71.69,-94.52,1790299227075313256
2400,1790299227065456748,240,-71.69,-94.52,1790299227097855161
2640,1790299227085456748,240,-71.69,-94.52,1790299227116469590
2880,1790299227105456748,240,-71.69,-94.52,1790299227137198089
3120,1790299227125456748,240,-71.68,-93.72,1790299227157382949
3360,1790299227145456748,240,-71.68,-93.72,1790299227176470058
3600,1790299227165456748,240,-71.68,-93.72,1790299227199506643
3840,1790299227185456748,240,-71.68,-93.72,1790299227219308429
4080,1790299227205456748,240,-71.68,-93.72,1790299227238520971
4320,1790299227225456748,240,-71.7,-93.09,1790299227259656779
4560,1790299227245456748,240,-71.7,-93.09,1790299227278164282
4800,1790299227265456748,240,-71.7,-93.09,1790299227294332131
5040,1790299227285456748,240,-71.7,-93.09,1790299227315180476
5280,1790299227305456748,240,-71.7,-93.09,1790299227334131605
5520,1790299227325456748,240,-71.66,-92.3,1790299227356626927
5760,1790299227345456748,240,-71.66,-92.3,1790299227374718530
6000,1790299227365456748,240,-71.66,-92.3,1790299227394687584
6240,1790299227385456748,240,-71.66,-92.3,1790299227417202461
6480,1790299227405456748,240,-71.66,-92.3,1790299227435938273
6720,1790299227425456748,240,-71.67,-92.49,1790299227455992252
6960,1790299227445456748,240,-71.67,-92.49,1790299227477941142
7200,1790299227465456748,240,-71.67,-92.49,1790299227498494900
7440,1790299227485456748,240,-71.67,-92.49,1790299227516694896
7680,1790299227505456748,240,-71.67,-92.49,1790299227537300405
7920,1790299227525456748,240,-71.72,-93.16,1790299227559628320
8160,1790299227545456748,240,-71.72,-93.16,1790299227579533260
8400,1790299227565456748,240,-71.72,-93.16,1790299227599395597
8640,1790299227585456748,240,-71.72,-93.16,1790299227619147168
8880,1790299227605456748,240,-71.72,-93.29,1790299227639032483
9120,1790299227625456748,240,-71.72,-93.29,1790299227654456252
9360,1790299227645456748,240,-71.72,-93.29,1790299227674755162
9600,1790299227665456748,240,-71.72,-93.29,1790299227694513228
