# ubersdr-ntp-iqrecord https://m9psy-1.instance.ubersdr.org carrier_hz=60000 mode=iq bandwidth=-6000..6000 min_margin=0
frame,timestamp_ns,frames,baseband_dbfs,noise_dbfs,host_unix_ns
0,0,240,-999,-999,1790299226898898018
240,1790299226885456748,240,-69.93,-112.2,1790299226917405382
480,1790299226905456748,240,-69.91,-107.1,1790299226943259539
720,1790299226925456748,240,-69.91,-107.1,1790299226956886733
960,1790299226945456748,240,-69.91,-107.1,1790299226977344669
1200,1790299226965456748,240,-69.91,-107.1,1790299226996868560
1440,1790299226985456748,240,-69.91,-107.1,1790299227016004767
1680,1790299227005456748,240,-69.91,-107.1,1790299227036299207
1920,1790299227025456748,240,-77.21,-102.7,1790299227055411529
2160,1790299227045456748,240,-77.21,-102.7,1790299227075335954
2400,1790299227065456748,240,-77.21,-102.7,1790299227095960810
2640,1790299227085456748,240,-77.21,-102.7,1790299227118408360
2880,1790299227105456748,240,-77.21,-102.7,1790299227140485687
3120,1790299227125456748,240,-69.76,-101.87,1790299227158512059
3360,1790299227145456748,240,-69.76,-101.87,1790299227177151421
3600,1790299227165456748,240,-69.76,-101.87,1790299227196647236
3840,1790299227185456748,240,-69.76,-101.87,1790299227219289921
4080,1790299227205456748,240,-69.76,-101.87,1790299227237042799
4320,1790299227225456748,240,-70.06,-101.96,1790299227259634011
4560,1790299227245456748,240,-70.06,-101.96,1790299227279146658
4800,1790299227265456748,240,-70.06,-101.96,1790299227295714832
5040,1790299227285456748,240,-70.06,-101.96,1790299227315180476
5280,1790299227305456748,240,-70.06,-101.96,1790299227335848143
5520,1790299227325456748,240,-70.01,-101.97,1790299227356626927
5760,1790299227345456748,240,-70.01,-101.97,1790299227374757012
6000,1790299227365456748,240,-70.01,-101.97,1790299227394687584
6240,1790299227385456748,240,-70.01,-101.97,1790299227417165446
6480,1790299227405456748,240,-70.01,-101.97,1790299227435617356
6720,1790299227425456748,240,-69.88,-101.9,1790299227455840070
6960,1790299227445456748,240,-69.88,-101.9,1790299227477558068
7200,1790299227465456748,240,-69.88,-101.9,1790299227497564137
7440,1790299227485456748,240,-69.88,-101.9,1790299227516408620
7680,1790299227505456748,240,-69.88,-101.9,1790299227541406045
7920,1790299227525456748,240,-69.9,-101.69,1790299227558829974
8160,1790299227545456748,240,-69.9,-101.69,1790299227578409458
8400,1790299227565456748,240,-69.9,-101.69,1790299227600396830
8640,1790299227585456748,240,-69.9,-101.69,1790299227620321605
8880,1790299227605456748,240,-69.84,-101.36,1790299227640673524
9120,1790299227625456748,240,-69.84,-101.36,1790299227655375422
9360,1790299227645456748,240,-69.84,-101.36,1790299227675771620
9600,1790299227665456748,240,-69.84,-101.36,1790299227695732572
9840,1790299227685456748,240,-69.84,-101.36,1790299227714683702
10080,1790299227705456748,240,-69.84,-101.36,1790299227734574953
10320,1790299227725456748,240,-69.88,-101.27,1790299227755208748
10560,1790299227745456748,240,-69.88,-101.27,1790299227777482326
10800,1790299227765456748,240,-69.88,-101.27,1790299227796495334
11040,1790299227785456748,240,-69.88,-101.27,1790299227815633147
11280,1790299227805456748,240,-69.88,-101.27,1790299227835927797
11520,1790299227825456748,240,-69.87,-100.76,1790299227856954794
11760,1790299227845456748,240,-69.87,-100.76,1790299227877091395
12000,1790299227865456748,240,-69.87,-100.76,1790299227896780737
12240,1790299227885456748,240,-69.87,-100.76,1790299227917774979
12480,1790299227905456748,240,-69.86,-100.71,1790299227938161958
12720,1790299227925456748,240,-69.86,-100.71,1790299227957168820
12960,1790299227945456748,240,-69.86,-100.71,1790299227980096733
13200,1790299227965456748,240,-69.86,-100.71,1790299228000245905
13440,1790299227985456748,240,-69.86,-100.71,1790299228014175787
13680,1790299228005456748,240,-69.86,-100.71,1790299228033909269
13920,1790299228025456748,240,-77.21,-100.9,1790299228056254225
14160,1790299228045456748,240,-77.21,-100.9,1790299228075656873
14400,1790299228065456748,240,-77.21,-100.9,1790299228095537438
14640,1790299228085456748,240,-77.21,-100.9,1790299228117884419
14880,1790299228105456748,240,-77.21,-100.9,1790299228140653655
15120,1790299228125456748,240,-69.69,-100.95,1790299228158054886
15360,1790299228145456748,240,-69.69,-100.95,1790299228177182292
15600,1790299228165456748,240,-69.69,-100.95,1790299228197044211
15840,1790299228185456748,240,-69.69,-100.95,1790299228215876123
16080,1790299228205456748,240,-69.69,-100.95,1790299228235979969
16320,1790299228225456748,240,-70.03,-101.31,1790299228259145898
16560,1790299228245456748,240,-70.03,-101.31,1790299228278410332
16800,1790299228265456748,240,-70.03,-101.31,1790299228297489060
17040,1790299228285456748,240,-70.03,-101.31,1790299228319164524
17280,1790299228305456748,240,-70.03,-101.31,1790299228341867272
17520,1790299228325456748,240,-69.96,-101.7,1790299228359545630
17760,1790299228345456748,240,-69.96,-101.7,1790299228376300976
18000,1790299228365456748,240,-69.96,-101.7,1790299228395922574
18240,1790299228385456748,240,-69.96,-101.7,1790299228415563587
18480,1790299228405456748,240,-69.96,-101.7,1790299228435027415
18720,1790299228425456748,240,-69.91,-101.77,1790299228455689216
18960,1790299228445456748,240,-69.91,-101.77,1790299228475130556
19200,1790299228465456748,240,-69.91,-101.77,1790299228497216892
19440,1790299228485456748,240,-69.91,-101.77,1790299228516358057
19680,1790299228505456748,240,-69.91,-101.77,1790299228535424982
19920,1790299228525456748,240,-69.87,-101.32,1790299228558041128
20160,1790299228545456748,240,-69.87,-101.32,1790299228578804407
20400,1790299228565456748,240,-69.87,-101.32,1790299228596983590
